Titre :;France, Indice de production industrielle [hors bâtiment] (CJO)
Code série :;STS.M.FR.W.PROD.NS0020.4.000
Unité :;Nombre pur (PURE_NUMB)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;Eurostat (4D0)
Oct 2017;112
Sep 2017;107,2
Aoû 2017;79,2
Jul 2017;101,6
Jun 2017;108,5
Mai 2017;99,4
Avr 2017;103,1
Mar 2017;112,7
Fév 2017;99,9
Jan 2017;103,2
Déc 2016;101,4
Nov 2016;105,7
Oct 2016;106
Sep 2016;103,9
Aoû 2016;78,2
Jul 2016;98
Jun 2016;106,1
Mai 2016;96,5
Avr 2016;103,4
Mar 2016;110
Fév 2016;100,8
Jan 2016;102,5
Déc 2015;100,3
Nov 2015;103,1
Oct 2015;108
Sep 2015;105,2
Aoû 2015;78
Jul 2015;98,5
Jun 2015;107,4
Mai 2015;95,7
Avr 2015;101,3
Mar 2015;110,4
Fév 2015;100,4
Jan 2015;100,3
Déc 2014;101,1
Nov 2014;99,6
Oct 2014;104,1
Sep 2014;103,3
Aoû 2014;75,4
Jul 2014;99,1
Jun 2014;104,8
Mai 2014;93
Avr 2014;100,7
Mar 2014;108,3
Fév 2014;99,5
Jan 2014;98,8
Déc 2013;99,6
Nov 2013;102,8
Oct 2013;105,1
Sep 2013;102,6
Aoû 2013;75,6
Jul 2013;99,2
Jun 2013;105,5
Mai 2013;96,4
Avr 2013;102,5
Mar 2013;108,7
Fév 2013;99,9
Jan 2013;99,6
Déc 2012;99,8
Nov 2012;101,2
Oct 2012;104,8
Sep 2012;103,5
Aoû 2012;77,9
Jul 2012;100
Jun 2012;105,5
Mai 2012;95,8
Avr 2012;102,1
Mar 2012;110,4
Fév 2012;101,5
Jan 2012;101,6
Déc 2011;101,6
Nov 2011;106,1
Oct 2011;108
Sep 2011;105,2
Aoû 2011;77,9
Jul 2011;102,6
Jun 2011;107,8
Mai 2011;100,6
Avr 2011;101,7
Mar 2011;112,2
Fév 2011;103,6
Jan 2011;104,5
Déc 2010;103,4
Nov 2010;104,1
Oct 2010;107
Sep 2010;104,4
Aoû 2010;75,3
Jul 2010;100
Jun 2010;106,2
Mai 2010;96
Avr 2010;99,1
Mar 2010;108,4
Fév 2010;96,9
Jan 2010;99,3
Déc 2009;97,6
Nov 2009;100,1
Oct 2009;103,5
Sep 2009;101,8
Aoû 2009;72,6
Jul 2009;95,1
Jun 2009;103,1
Mai 2009;91,1
Avr 2009;93,6
Mar 2009;102,8
Fév 2009;94,5
Jan 2009;97,6
Déc 2008;102,4
Nov 2008;104,7
Oct 2008;115,3
Sep 2008;115,3
Aoû 2008;82,6
Jul 2008;111,1
Jun 2008;119,6
Mai 2008;107,2
Avr 2008;116,6
Mar 2008;124,9
Fév 2008;114,1
Jan 2008;114,3
Déc 2007;114,8
Nov 2007;116,9
Oct 2007;123,9
Sep 2007;119,2
Aoû 2007;86,4
Jul 2007;113,8
Jun 2007;124,2
Mai 2007;111,1
Avr 2007;113,2
Mar 2007;125,3
Fév 2007;112,2
Jan 2007;112,6
Déc 2006;114,8
Nov 2006;114,9
Oct 2006;121
Sep 2006;120,4
Aoû 2006;83,2
Jul 2006;111,4
Jun 2006;123,9
Mai 2006;109,6
Avr 2006;112,7
Mar 2006;124,1
Fév 2006;110,1
Jan 2006;112,1
Déc 2005;113,6
Nov 2005;117,1
Oct 2005;117,7
Sep 2005;118,8
Aoû 2005;81,1
Jul 2005;109,5
Jun 2005;119,6
Mai 2005;106,1
Avr 2005;113,4
Mar 2005;120,1
Fév 2005;110,8
Jan 2005;113,5
Déc 2004;111,7
Nov 2004;114,3
Oct 2004;121,6
Sep 2004;118,3
Aoû 2004;79,8
Jul 2004;111,4
Jun 2004;120,7
Mai 2004;105,5
Avr 2004;112,6
Mar 2004;123,1
Fév 2004;111,4
Jan 2004;110,8
Déc 2003;110,5
Nov 2003;112,4
Oct 2003;120,4
Sep 2003;115
Aoû 2003;80,4
Jul 2003;109,4
Jun 2003;116,7
Mai 2003;102,9
Avr 2003;112,1
Mar 2003;122,4
Fév 2003;111,5
Jan 2003;111,3
Déc 2002;109,5
Nov 2002;114,4
Oct 2002;119,5
Sep 2002;117,2
Aoû 2002;84,1
Jul 2002;110,8
Jun 2002;120,7
Mai 2002;107,1
Avr 2002;114,4
Mar 2002;124,6
Fév 2002;112
Jan 2002;113
Déc 2001;113,6
Nov 2001;114,9
Oct 2001;122,6
Sep 2001;119,9
Aoû 2001;86,5
Jul 2001;113,2
Jun 2001;124,1
Mai 2001;109,1
Avr 2001;114,6
Mar 2001;128,2
Fév 2001;116
Jan 2001;116
Déc 2000;118,2
Nov 2000;118,2
Oct 2000;125,8
Sep 2000;120,4
Aoû 2000;84,9
Jul 2000;115,5
Jun 2000;123,2
Mai 2000;109,8
Avr 2000;114,9
Mar 2000;125,2
Fév 2000;113,2
Jan 2000;113,6
Déc 1999;114,3
Nov 1999;116,9
Oct 1999;124,1
Sep 1999;118,2
Aoû 1999;80,6
Jul 1999;112
Jun 1999;120,2
Mai 1999;104,5
Avr 1999;110,5
Mar 1999;120,6
Fév 1999;109,8
Jan 1999;111
Déc 1998;112,1
Nov 1998;114
Oct 1998;121
Sep 1998;117
Aoû 1998;80,2
Jul 1998;111,8
Jun 1998;120,2
Mai 1998;106,2
Avr 1998;111,4
Mar 1998;120,7
Fév 1998;111,7
Jan 1998;111,9
Déc 1997;112,6
Nov 1997;111,8
Oct 1997;121,7
Sep 1997;115,2
Aoû 1997;82,1
Jul 1997;107,6
Jun 1997;116
Mai 1997;101,6
Avr 1997;109,2
Mar 1997;116,1
Fév 1997;106
Jan 1997;105,5
Déc 1996;107,2
Nov 1996;108
Oct 1996;114,3
Sep 1996;111,4
Aoû 1996;76,8
Jul 1996;103,3
Jun 1996;113
Mai 1996;99,9
Avr 1996;104,8
Mar 1996;116,3
Fév 1996;105,7
Jan 1996;106,4
Déc 1995;108,7
Nov 1995;107,3
Oct 1995;116,3
Sep 1995;114,1
Aoû 1995;77
Jul 1995;108,7
Jun 1995;114
Mai 1995;100,1
Avr 1995;108
Mar 1995;117,6
Fév 1995;108,7
Jan 1995;108,8
Déc 1994;106,9
Nov 1994;109
Oct 1994;116,2
Sep 1994;110,8
Aoû 1994;75,8
Jul 1994;105,5
Jun 1994;111,4
Mai 1994;97,9
Avr 1994;104,7
Mar 1994;111,1
Fév 1994;104,1
Jan 1994;103,9
Déc 1993;99,7
Nov 1993;103,4
Oct 1993;111,7
Sep 1993;108,3
Aoû 1993;73
Jul 1993;102,5
Jun 1993;106,9
Mai 1993;94,3
Avr 1993;101,6
Mar 1993;112,1
Fév 1993;105,9
Jan 1993;105,3
Déc 1992;102,6
Nov 1992;106,8
Oct 1992;115,9
Sep 1992;111,5
Aoû 1992;76,8
Jul 1992;106
Jun 1992;113,7
Mai 1992;101,3
Avr 1992;108,2
Mar 1992;119,7
Fév 1992;111,4
Jan 1992;110,8
Déc 1991;108,5
Nov 1991;112,8
Oct 1991;119,4
Sep 1991;116,9
Aoû 1991;78,8
Jul 1991;108,6
Jun 1991;116,3
Mai 1991;101,1
Avr 1991;109,4
Mar 1991;121,5
Fév 1991;115
Jan 1991;113,8
Déc 1990;109,1
Nov 1990;111,3
Oct 1990;121,4
Sep 1990;118,6
Aoû 1990;79,7
Jul 1990;110,8
Jun 1990;118,3
Mai 1990;104,7
Avr 1990;112,3
Mar 1990;123,2
Fév 1990;116
Jan 1990;113,2