DATE,PCECC96
1947-01-01,1199.4
1947-04-01,1219.3
1947-07-01,1223.3
1947-10-01,1223.6
1948-01-01,1229.8
1948-04-01,1244.1
1948-07-01,1245.9
1948-10-01,1255.8
1949-01-01,1257.9
1949-04-01,1277.1
1949-07-01,1280.0
1949-10-01,1298.8
1950-01-01,1320.4
1950-04-01,1342.1
1950-07-01,1411.0
1950-10-01,1368.4
1951-01-01,1401.5
1951-04-01,1361.9
1951-07-01,1377.7
1951-10-01,1385.8
1952-01-01,1388.9
1952-04-01,1416.1
1952-07-01,1423.0
1952-10-01,1473.3
1953-01-01,1490.8
1953-04-01,1499.8
1953-07-01,1496.3
1953-10-01,1486.4
1954-01-01,1491.8
1954-04-01,1511.3
1954-07-01,1531.8
1954-10-01,1564.0
1955-01-01,1599.1
1955-04-01,1629.7
1955-07-01,1649.8
1955-10-01,1670.5
1956-01-01,1673.2
1956-04-01,1678.8
1956-07-01,1682.6
1956-10-01,1705.8
1957-01-01,1717.5
1957-04-01,1720.5
1957-07-01,1734.1
1957-10-01,1734.9
1958-01-01,1711.1
1958-04-01,1725.1
1958-07-01,1753.5
1958-10-01,1777.1
1959-01-01,1809.4
1959-04-01,1837.3
1959-07-01,1856.5
1959-10-01,1858.6
1960-01-01,1876.3
1960-04-01,1900.1
1960-07-01,1892.5
1960-10-01,1894.9
1961-01-01,1894.4
1961-04-01,1922.6
1961-07-01,1932.0
1961-10-01,1970.7
1962-01-01,1991.7
1962-04-01,2016.1
1962-07-01,2032.5
1962-10-01,2061.3
1963-01-01,2075.2
1963-04-01,2095.1
1963-07-01,2123.7
1963-10-01,2141.4
1964-01-01,2183.6
1964-04-01,2222.0
1964-07-01,2262.8
1964-10-01,2269.2
1965-01-01,2319.8
1965-04-01,2345.5
1965-07-01,2385.9
1965-10-01,2452.9
1966-01-01,2489.1
1966-04-01,2495.4
1966-07-01,2523.8
1966-10-01,2534.2
1967-01-01,2548.9
1967-04-01,2583.7
1967-07-01,2596.9
1967-10-01,2612.7
1968-01-01,2674.8
1968-04-01,2715.6
1968-07-01,2766.6
1968-10-01,2779.1
1969-01-01,2810.2
1969-04-01,2828.2
1969-07-01,2841.9
1969-10-01,2864.6
1970-01-01,2882.3
1970-04-01,2895.6
1970-07-01,2921.1
1970-10-01,2913.1
1971-01-01,2968.9
1971-04-01,2996.1
1971-07-01,3020.0
1971-10-01,3070.2
1972-01-01,3110.8
1972-04-01,3170.2
1972-07-01,3219.1
1972-10-01,3294.6
1973-01-01,3354.8
1973-04-01,3353.4
1973-07-01,3365.3
1973-10-01,3355.5
1974-01-01,3326.2
1974-04-01,3337.9
1974-07-01,3351.6
1974-10-01,3302.5
1975-01-01,3330.1
1975-04-01,3385.7
1975-07-01,3434.1
1975-10-01,3470.5
1976-01-01,3539.9
1976-04-01,3572.4
1976-07-01,3610.3
1976-10-01,3657.5
1977-01-01,3699.3
1977-04-01,3719.7
1977-07-01,3755.2
1977-10-01,3811.8
1978-01-01,3833.8
1978-04-01,3915.6
1978-07-01,3932.0
1978-10-01,3963.5
1979-01-01,3983.6
1979-04-01,3981.3
1979-07-01,4020.4
1979-10-01,4031.2
1980-01-01,4025.0
1980-04-01,3934.5
1980-07-01,3976.9
1980-10-01,4029.6
1981-01-01,4050.8
1981-04-01,4050.1
1981-07-01,4066.4
1981-10-01,4035.9
1982-01-01,4062.6
1982-04-01,4077.6
1982-07-01,4109.1
1982-10-01,4184.1
1983-01-01,4224.8
1983-04-01,4308.4
1983-07-01,4384.0
1983-10-01,4453.1
1984-01-01,4490.9
1984-04-01,4554.9
1984-07-01,4589.9
1984-10-01,4650.6
1985-01-01,4729.7
1985-04-01,4774.1
1985-07-01,4865.8
1985-10-01,4878.3
1986-01-01,4919.6
1986-04-01,4974.6
1986-07-01,5064.7
1986-10-01,5097.1
1987-01-01,5097.9
1987-04-01,5168.6
1987-07-01,5228.5
1987-10-01,5239.5
1988-01-01,5332.7
1988-04-01,5371.8
1988-07-01,5417.7
1988-10-01,5479.7
1989-01-01,5505.0
1989-04-01,5530.9
1989-07-01,5585.9
1989-10-01,5610.5
1990-01-01,5658.7
1990-04-01,5676.4
1990-07-01,5699.3
1990-10-01,5656.2
1991-01-01,5636.7
1991-04-01,5684.0
1991-07-01,5711.6
1991-10-01,5710.1
1992-01-01,5817.3
1992-04-01,5857.2
1992-07-01,5920.6
1992-10-01,5991.1
1993-01-01,6013.8
1993-04-01,6067.8
1993-07-01,6134.8
1993-10-01,6189.1
1994-01-01,6260.1
1994-04-01,6308.6
1994-07-01,6357.5
1994-10-01,6425.9
1995-01-01,6442.9
1995-04-01,6500.7
1995-07-01,6560.3
1995-10-01,6606.4
1996-01-01,6667.7
1996-04-01,6740.1
1996-07-01,6780.7
1996-10-01,6834.0
1997-01-01,6906.1
1997-04-01,6937.4
1997-07-01,7056.1
1997-10-01,7139.9
1998-01-01,7213.6
1998-04-01,7341.0
1998-07-01,7437.5
1998-10-01,7546.8
1999-01-01,7618.7
1999-04-01,7731.5
1999-07-01,7819.3
1999-10-01,7934.1
2000-01-01,8054.9
2000-04-01,8132.2
2000-07-01,8211.3
2000-10-01,8284.4
2001-01-01,8319.4
2001-04-01,8340.8
2001-07-01,8371.2
2001-10-01,8499.1
2002-01-01,8524.6
2002-04-01,8568.1
2002-07-01,8628.0
2002-10-01,8674.4
2003-01-01,8712.5
2003-04-01,8809.5
2003-07-01,8939.4
2003-10-01,9008.8
2004-01-01,9096.4
2004-04-01,9155.5
2004-07-01,9243.0
2004-10-01,9337.8
2005-01-01,9409.2
2005-04-01,9511.5
2005-07-01,9585.2
2005-10-01,9621.3
2006-01-01,9729.2
2006-04-01,9781.0
2006-07-01,9838.1
2006-10-01,9938.4
2007-01-01,9990.7
2007-04-01,10024.6
2007-07-01,10069.2
2007-10-01,10081.8
2008-01-01,10061.0
2008-04-01,10077.9
2008-07-01,10005.1
2008-10-01,9884.7
2009-01-01,9850.8
2009-04-01,9806.4
2009-07-01,9865.9
2009-10-01,9864.8
2010-01-01,9917.7
2010-04-01,9998.4
2010-07-01,10063.1
2010-10-01,10166.1
2011-01-01,10217.1
2011-04-01,10237.7
2011-07-01,10282.2
2011-10-01,10316.8
2012-01-01,10379.0
2012-04-01,10396.6
2012-07-01,10424.1
2012-10-01,10453.2
2013-01-01,10502.3
2013-04-01,10523.9
2013-07-01,10573.1
2013-10-01,10662.2
2014-01-01,10712.8
2014-04-01,10813.3
2014-07-01,10912.9
2014-10-01,11036.4
2015-01-01,11102.4
2015-04-01,11181.3
2015-07-01,11255.9
2015-10-01,11319.3
2016-01-01,11365.2
2016-04-01,11487.4
