Titre :;France, PIB par habitant en PPA
Code série :;AME.A.FRA.1.0.212.0.HVGDP
Unité :;Unité décrite dans le titre (UNITS) (UNITS)
Magnitude :;Milliers (3)
Méthode d'observation :;Fin de période (E)
Source :;Eurostat (4D0)
2019;32,41
2018;31,55
2017;30,75
2016;30,35
2015;30,77
2014;29,56
2013;29,02
2012;28,46
2011;28,27
2010;27,53
2009;26,44
2008;27,81
2007;28,19
2006;26,94
2005;26,03
2004;24,68
2003;23,99
2002;24,61
2001;23,99
2000;22,98
1999;21,33
1998;20,31
1997;19,32
1996;18,31
1995;17,6
1994;18,22
1993;17,55
1992;17,64
1991;16,98
1990;16,12
1989;15,07
1988;13,76
1987;12,63
1986;12,11
1985;11,56
1984;10,91
1983;10,19
1982;9,65
1981;8,74
1980;7,87
1979;7
1978;6,2
1977;5,63
1976;5,07
1975;4,45
1974;3,99
1973;3,39
1972;2,95
1971;2,68
1970;2,4
1969;2,13
1968;1,9
1967;1,78
1966;1,66
1965;1,53
1964;1,41
1963;1,27
1962;1,17
1961;1,07
1960;1