DATE,W013RU1Q027NBEA
1947-01-01,10
1947-04-01,10.4
1947-07-01,10.4
1947-10-01,9.7
1948-01-01,9.5
1948-04-01,10.1
1948-07-01,10.5
1948-10-01,11.5
1949-01-01,11.7
1949-04-01,11.6
1949-07-01,11.5
1949-10-01,11.6
1950-01-01,13.5
1950-04-01,11.3
1950-07-01,10.2
1950-10-01,12
1951-01-01,12.8
1951-04-01,14.2
1951-07-01,15.4
1951-10-01,16.1
1952-01-01,15.6
1952-04-01,16.6
1952-07-01,17.3
1952-10-01,18.4
1953-01-01,17.6
1953-04-01,18.5
1953-07-01,17.3
1953-10-01,19.3
1954-01-01,17.5
1954-04-01,17.8
1954-07-01,16.7
1954-10-01,18.5
1955-01-01,17.5
1955-04-01,17.5
1955-07-01,18
1955-10-01,18.6
1956-01-01,17.6
1956-04-01,18.8
1956-07-01,17.8
1956-10-01,20.3
1957-01-01,19.6
1957-04-01,20.4
1957-07-01,20.2
1957-10-01,21.7
1958-01-01,20.7
1958-04-01,22
1958-07-01,22
1958-10-01,23.4
1959-01-01,21.7
1959-04-01,22.9
1959-07-01,22.8
1959-10-01,23.1
1960-01-01,22.3
1960-04-01,23.3
1960-07-01,23.4
1960-10-01,24.3
1961-01-01,24
1961-04-01,25.6
1961-07-01,24.3
1961-10-01,25.9
1962-01-01,26.2
1962-04-01,27.4
1962-07-01,26.9
1962-10-01,28
1963-01-01,27.7
1963-04-01,28
1963-07-01,29.1
1963-10-01,28.6
1964-01-01,28.7
1964-04-01,29.9
1964-07-01,30.2
1964-10-01,29.3
1965-01-01,29.3
1965-04-01,31
1965-07-01,32.8
1965-10-01,32.8
1966-01-01,33.1
1966-04-01,35.5
1966-07-01,38.3
1966-10-01,37.5
1967-01-01,39.8
1967-04-01,41
1967-07-01,42.4
1967-10-01,42.5
1968-01-01,43.4
1968-04-01,46.7
1968-07-01,46.9
1968-10-01,47.3
1969-01-01,45.9
1969-04-01,49.4
1969-07-01,51.5
1969-10-01,50.1
1970-01-01,50.7
1970-04-01,55.7
1970-07-01,57.4
1970-10-01,56.1
1971-01-01,57.2
1971-04-01,61.7
1971-07-01,61.3
1971-10-01,61.4
1972-01-01,64.2
1972-04-01,67.4
1972-07-01,66.6
1972-10-01,69.7
1973-01-01,70.3
1973-04-01,72.4
1973-07-01,72.6
1973-10-01,71.7
1974-01-01,75.6
1974-04-01,79.5
1974-07-01,80.2
1974-10-01,83.8
1975-01-01,89.3
1975-04-01,95.1
1975-07-01,93.1
1975-10-01,96.3
1976-01-01,99.4
1976-04-01,99.1
1976-07-01,100.6
1976-10-01,103.4
1977-01-01,105.6
1977-04-01,107.2
1977-07-01,109.5
1977-10-01,113.5
1978-01-01,117.3
1978-04-01,119.7
1978-07-01,121.2
1978-10-01,125.5
1979-01-01,128.1
1979-04-01,130.6
1979-07-01,133.9
1979-10-01,139
1980-01-01,147.5
1980-04-01,151.4
1980-07-01,157.2
1980-10-01,163.9
1981-01-01,172.3
1981-04-01,173.1
1981-07-01,177.5
1981-10-01,184
1982-01-01,189.4
1982-04-01,191.2
1982-07-01,195.7
1982-10-01,206.9
1983-01-01,208.8
1983-04-01,212.1
1983-07-01,212
1983-10-01,216.9
1984-01-01,222.1
1984-04-01,222.6
1984-07-01,224
1984-10-01,234.8
1985-01-01,239.7
1985-04-01,241.3
1985-07-01,241.9
1985-10-01,248.6
1986-01-01,250.8
1986-04-01,260
1986-07-01,259.1
1986-10-01,260.6
1987-01-01,263.2
1987-04-01,263.8
1987-07-01,262
1987-10-01,273.6
1988-01-01,277.8
1988-04-01,277.6
1988-07-01,272.6
1988-10-01,291.7
1989-01-01,297.2
1989-04-01,299.3
1989-07-01,294.3
1989-10-01,308.3
1990-01-01,319.2
1990-04-01,322.2
1990-07-01,317.9
1990-10-01,329.3
1991-01-01,321.7
1991-04-01,337.9
1991-07-01,337.1
1991-10-01,357.3
1992-01-01,367.9
1992-04-01,368.5
1992-07-01,366.7
1992-10-01,383.9
1993-01-01,382.8
1993-04-01,384.2
1993-07-01,383.6
1993-10-01,392.2
1994-01-01,396
1994-04-01,389.6
1994-07-01,394.5
1994-10-01,402.9
1995-01-01,416.1
1995-04-01,418.6
1995-07-01,412.2
1995-10-01,411.3
1996-01-01,434.1
1996-04-01,426.3
1996-07-01,422.6
1996-10-01,431.8
1997-01-01,443.7
1997-04-01,438.1
1997-07-01,430.4
1997-10-01,446.3
1998-01-01,451.8
1998-04-01,443.2
1998-07-01,437.9
1998-10-01,454.1
1999-01-01,462.7
1999-04-01,455
1999-07-01,452.5
1999-10-01,468.6
2000-01-01,483.9
2000-04-01,477.2
2000-07-01,466.9
2000-10-01,483.6
2001-01-01,512.5
2001-04-01,500.9
2001-07-01,495
2001-10-01,509
2002-01-01,538.8
2002-04-01,531.7
2002-07-01,526.8
2002-10-01,543.9
2003-01-01,570.5
2003-04-01,575.9
2003-07-01,564.4
2003-10-01,587.3
2004-01-01,619.4
2004-04-01,599.3
2004-07-01,596.3
2004-10-01,611.7
2005-01-01,665
2005-04-01,644
2005-07-01,643.4
2005-10-01,655.9
2006-01-01,711.9
2006-04-01,689
2006-07-01,681.5
2006-10-01,682.3
2007-01-01,752.1
2007-04-01,729.1
2007-07-01,719.8
2007-10-01,731.8
2008-01-01,796.2
2008-04-01,849.1
2008-07-01,792.4
2008-10-01,775.7
2009-01-01,853.6
2009-04-01,883.8
2009-07-01,871.1
2009-10-01,878.7
2010-01-01,982.7
2010-04-01,929.4
2010-07-01,925
2010-10-01,934.9
2011-01-01,1008.8
2011-04-01,964.4
2011-07-01,924.3
2011-10-01,920.8
2012-01-01,992.2
2012-04-01,941.7
2012-07-01,924.7
2012-10-01,930.6
2013-01-01,987.7
2013-04-01,943.5
2013-07-01,934.3
2013-10-01,916.8
2014-01-01,1011.8
2014-04-01,963.9
2014-07-01,971.1
2014-10-01,949.8
