"Libellé";"Demandeurs d'emploi inscrits en fin de mois à Pôle emploi - Catégories A, B, C, D et E (ensemble des catégories) - France métropolitaine - Série CVS-CJO";"Codes"
"idBank";"001572362";""
"Période";"";""
"2018-12";"6237.8";"A"
"2018-11";"6223.6";"A"
"2018-10";"6249.9";"A"
"2018-09";"6269.6";"A"
"2018-08";"6295.5";"A"
"2018-07";"6253.0";"A"
"2018-06";"6221.8";"A"
"2018-05";"6261.9";"A"
"2018-04";"6233.1";"A"
"2018-03";"6240.9";"A"
"2018-02";"6260.6";"A"
"2018-01";"6265.9";"A"
"2017-12";"6292.6";"A"
"2017-11";"6291.8";"A"
"2017-10";"6288.0";"A"
"2017-09";"6288.3";"A"
"2017-08";"6352.8";"A"
"2017-07";"6315.0";"A"
"2017-06";"6278.0";"A"
"2017-05";"6275.0";"A"
"2017-04";"6257.1";"A"
"2017-03";"6242.3";"A"
"2017-02";"6255.3";"A"
"2017-01";"6243.0";"A"
"2016-12";"6237.0";"A"
"2016-11";"6246.1";"A"
"2016-10";"6217.7";"A"
"2016-09";"6225.4";"A"
"2016-08";"6259.2";"A"
"2016-07";"6181.3";"A"
"2016-06";"6167.8";"A"
"2016-05";"6153.8";"A"
"2016-04";"6115.0";"A"
"2016-03";"6161.7";"A"
"2016-02";"6161.7";"A"
"2016-01";"6157.5";"A"
"2015-12";"6170.8";"A"
"2015-11";"6148.2";"A"
"2015-10";"6130.2";"A"
"2015-09";"6104.6";"A"
"2015-08";"6102.2";"A"
"2015-07";"6080.4";"A"
"2015-06";"6065.4";"A"
"2015-05";"6068.3";"A"
"2015-04";"6001.5";"A"
"2015-03";"5963.2";"A"
"2015-02";"5924.3";"A"
"2015-01";"5900.4";"A"
"2014-12";"5875.0";"A"
"2014-11";"5845.7";"A"
"2014-10";"5820.8";"A"
"2014-09";"5796.2";"A"
"2014-08";"5741.2";"A"
"2014-07";"5734.5";"A"
"2014-06";"5712.9";"A"
"2014-05";"5693.5";"A"
"2014-04";"5661.4";"A"
"2014-03";"5636.8";"A"
"2014-02";"5615.6";"A"
"2014-01";"5597.5";"A"
"2013-12";"5565.1";"A"
"2013-11";"5541.4";"A"
"2013-10";"5518.2";"A"
"2013-09";"5482.5";"A"
"2013-08";"5408.0";"A"
"2013-07";"5443.6";"A"
"2013-06";"5409.9";"A"
"2013-05";"5413.2";"A"
"2013-04";"5399.6";"A"
"2013-03";"5355.9";"A"
"2013-02";"5327.1";"A"
"2013-01";"5292.2";"A"
"2012-12";"5245.9";"A"
"2012-11";"5224.1";"A"
"2012-10";"5179.9";"A"
"2012-09";"5131.4";"A"
"2012-08";"5095.8";"A"
"2012-07";"5041.0";"A"
"2012-06";"5005.7";"A"
"2012-05";"4969.6";"A"
"2012-04";"4932.5";"A"
"2012-03";"4927.0";"A"
"2012-02";"4896.8";"A"
"2012-01";"4867.5";"A"
"2011-12";"4842.9";"A"
"2011-11";"4805.8";"A"
"2011-10";"4770.0";"A"
"2011-09";"4753.6";"A"
"2011-08";"4727.6";"A"
"2011-07";"4710.1";"A"
"2011-06";"4701.0";"A"
"2011-05";"4667.0";"A"
"2011-04";"4646.6";"A"
"2011-03";"4639.0";"A"
"2011-02";"4642.6";"A"
"2011-01";"4636.4";"A"
"2010-12";"4617.8";"A"
"2010-11";"4608.6";"A"
"2010-10";"4599.7";"A"
"2010-09";"4610.4";"A"
"2010-08";"4595.6";"A"
"2010-07";"4575.1";"A"
"2010-06";"4551.6";"A"
"2010-05";"4540.0";"A"
"2010-04";"4511.3";"A"
"2010-03";"4468.1";"A"
"2010-02";"4433.5";"A"
"2010-01";"4404.2";"A"
"2009-12";"4367.5";"A"
"2009-11";"4341.0";"A"
"2009-10";"4301.4";"A"
"2009-09";"4243.2";"A"
"2009-08";"4199.3";"A"
"2009-07";"4143.2";"A"
"2009-06";"4076.8";"A"
"2009-05";"4056.9";"A"
"2009-04";"3984.2";"A"
"2009-03";"3893.8";"A"
"2009-02";"3811.7";"A"
"2009-01";"3728.5";"A"
"2008-12";"3652.9";"A"
"2008-11";"3598.5";"A"
"2008-10";"3547.9";"A"
"2008-09";"3502.0";"A"
"2008-08";"3481.4";"A"
"2008-07";"3477.3";"A"
"2008-06";"3460.9";"A"
"2008-05";"3455.6";"A"
"2008-04";"3455.1";"A"
"2008-03";"3468.2";"A"
"2008-02";"3474.6";"A"
"2008-01";"3487.2";"A"
"2007-12";"3495.2";"A"
"2007-11";"3517.6";"A"
"2007-10";"3542.4";"A"
"2007-09";"3574.2";"A"
"2007-08";"3588.9";"A"
"2007-07";"3594.3";"A"
"2007-06";"3609.1";"A"
"2007-05";"3635.1";"A"
"2007-04";"3653.4";"A"
"2007-03";"3677.9";"A"
"2007-02";"3702.1";"A"
"2007-01";"3722.2";"A"
"2006-12";"3757.1";"A"
"2006-11";"3780.7";"A"
"2006-10";"3803.7";"A"
"2006-09";"3818.2";"A"
"2006-08";"3840.0";"A"
"2006-07";"3858.4";"A"
"2006-06";"3888.0";"A"
"2006-05";"3902.7";"A"
"2006-04";"3943.8";"A"
"2006-03";"3972.0";"A"
"2006-02";"4011.4";"A"
"2006-01";"4034.4";"A"
"2005-12";"4051.6";"A"
"2005-11";"4066.2";"A"
"2005-10";"4082.3";"A"
"2005-09";"4103.0";"A"
"2005-08";"4108.7";"A"
"2005-07";"4125.6";"A"
"2005-06";"4127.9";"A"
"2005-05";"4166.6";"A"
"2005-04";"4155.3";"A"
"2005-03";"4146.4";"A"
"2005-02";"4134.0";"A"
"2005-01";"4134.3";"A"
"2004-12";"4124.0";"A"
"2004-11";"4120.9";"A"
"2004-10";"4095.2";"A"
"2004-09";"4086.5";"A"
"2004-08";"4076.0";"A"
"2004-07";"4053.9";"A"
"2004-06";"4050.2";"A"
"2004-05";"4022.0";"A"
"2004-04";"4008.2";"A"
"2004-03";"3995.0";"A"
"2004-02";"3993.2";"A"
"2004-01";"3997.5";"A"
"2003-12";"4034.8";"A"
"2003-11";"4016.8";"A"
"2003-10";"4013.5";"A"
"2003-09";"3994.8";"A"
"2003-08";"3945.9";"A"
"2003-07";"3933.2";"A"
"2003-06";"3926.3";"A"
"2003-05";"3898.3";"A"
"2003-04";"3898.4";"A"
"2003-03";"3903.2";"A"
"2003-02";"3878.5";"A"
"2003-01";"3851.7";"A"
"2002-12";"3820.0";"A"
"2002-11";"3807.9";"A"
"2002-10";"3785.4";"A"
"2002-09";"3787.6";"A"
"2002-08";"3781.3";"A"
"2002-07";"3779.8";"A"
"2002-06";"3756.8";"A"
"2002-05";"3757.5";"A"
"2002-04";"3746.6";"A"
"2002-03";"3723.4";"A"
"2002-02";"3701.0";"A"
"2002-01";"3693.9";"A"
"2001-12";"3680.9";"A"
"2001-11";"3650.1";"A"
"2001-10";"3611.5";"A"
"2001-09";"3601.4";"A"
"2001-08";"3605.2";"A"
"2001-07";"3598.3";"A"
"2001-06";"3595.9";"A"
"2001-05";"3606.2";"A"
"2001-04";"3607.3";"A"
"2001-03";"3614.2";"A"
"2001-02";"3640.5";"A"
"2001-01";"3662.2";"A"
"2000-12";"3709.0";"A"
"2000-11";"3727.3";"A"
"2000-10";"3781.3";"A"
"2000-09";"3826.3";"A"
"2000-08";"3879.9";"A"
"2000-07";"3897.9";"A"
"2000-06";"3929.8";"A"
"2000-05";"3972.4";"A"
"2000-04";"4017.0";"A"
"2000-03";"4065.7";"A"
"2000-02";"4116.7";"A"
"2000-01";"4153.6";"A"
"1999-12";"4174.5";"A"
"1999-11";"4211.9";"A"
"1999-10";"4238.7";"A"
"1999-09";"4261.5";"A"
"1999-08";"4297.0";"A"
"1999-07";"4314.6";"A"
"1999-06";"4360.6";"A"
"1999-05";"4366.5";"A"
"1999-04";"4371.4";"A"
"1999-03";"4374.2";"A"
"1999-02";"4362.7";"A"
"1999-01";"4362.7";"A"
"1998-12";"4363.1";"A"
"1998-11";"4360.5";"A"
"1998-10";"4356.0";"A"
"1998-09";"4347.0";"A"
"1998-08";"4344.5";"A"
"1998-07";"4340.7";"A"
"1998-06";"4322.7";"A"
"1998-05";"4349.1";"A"
"1998-04";"4350.9";"A"
"1998-03";"4347.7";"A"
"1998-02";"4347.5";"A"
"1998-01";"4341.9";"A"
"1997-12";"4336.6";"A"
"1997-11";"4331.3";"A"
"1997-10";"4337.4";"A"
"1997-09";"4334.8";"A"
"1997-08";"4324.2";"A"
"1997-07";"4322.3";"A"
"1997-06";"4326.0";"A"
"1997-05";"4301.8";"A"
"1997-04";"4284.5";"A"
"1997-03";"4276.2";"A"
"1997-02";"4270.5";"A"
"1997-01";"4271.7";"A"
"1996-12";"4252.5";"A"
"1996-11";"4234.7";"A"
"1996-10";"4215.9";"A"
"1996-09";"4214.9";"A"
"1996-08";"4202.2";"A"
"1996-07";"4176.9";"A"
"1996-06";"4167.8";"A"
"1996-05";"4159.6";"A"
"1996-04";"4144.1";"A"
"1996-03";"4136.2";"A"
"1996-02";"4118.4";"A"
"1996-01";"4099.8";"A"
