Titre :;Indices des prix des logements anciens, Ensemble des logements, France métropolitaine
Code série :;RPP.Q.FR.N.ED.00.1.00
Unité :;Indice, 2010=100 (628)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;Banque de France (FR2)
T4 2016;104,9
T3 2016;105,3
T2 2016;103,0
T1 2016;102,6
T4 2015;103,0
T3 2015;103,9
T2 2015;102,4
T1 2015;102,3
T4 2014;103,5
T3 2014;105,9
T2 2014;105,2
T1 2014;104,8
T4 2013;106,2
T3 2013;107,4
T2 2013;106,6
T1 2013;106,8
T4 2012;108,2
T3 2012;110,0
T2 2012;109,0
T1 2012;109,0
T4 2011;110,5
T3 2011;111,8
T2 2011;109,3
T1 2011;107,0
T4 2010;106,6
T3 2010;105,3
T2 2010;102,1
T1 2010;100,0
T4 2009;99,1
T3 2009;98,9
T2 2009;97,0
T1 2009;98,8
T4 2008;103,3
T3 2008;107,2
T2 2008;106,7
T1 2008;106,7
T4 2007;107,4
T3 2007;106,6
T2 2007;104,1
T1 2007;102,3
T4 2006;101,6
T3 2006;100,9
T2 2006;97,5
T1 2006;94,5
T4 2005;92,4
T3 2005;90,7
T2 2005;86,3
T1 2005;82,7
T4 2004;80,4
T3 2004;78,5
T2 2004;74,6
T1 2004;71,6
T4 2003;69,3
T3 2003;68,0
T2 2003;65,1
T1 2003;62,6
T4 2002;61,5
T3 2002;60,9
T2 2002;58,3
T1 2002;56,3
T4 2001;55,8
T3 2001;55,8
T2 2001;54,1
T1 2001;52,3
T4 2000;51,6
T3 2000;51,9
T2 2000;50,0
T1 2000;48,5
T4 1999;47,7
T3 1999;47,6
T2 1999;45,7
T1 1999;44,6
T4 1998;44,1
T3 1998;44,3
T2 1998;43,2
T1 1998;42,2
T4 1997;43,0
T3 1997;43,1
T2 1997;42,7
T1 1997;41,4
T4 1996;43,1
T3 1996;43,4
T2 1996;42,5
T1 1996;42,0